기준일,시도,시군구,기관명,주소,"신청유형
(A: 외래진료, 
B: 외래진료 및 입원)",전화번호
2020년 04월 01일 00시,서울,강남구,연세대학교강남세브란스병원,서울특별시 강남구 언주로211,B,02-2019-2114
2020년 04월 01일 00시,서울,강남구,강남차병원,서울특별시 강남구 논현로 566,A,02-3468-3000
2020년 04월 01일 00시,서울,강남구,우리들병원,서울특별시 강남구 학동로 445,A,02-513-8000
2020년 04월 01일 00시,서울,강남구,강남베드로병원,"서울특별시 강남구 남부순환로2633, 2649",A,02-1544-7522
2020년 04월 01일 00시,서울,강남구,나누리병원,서울특별시 강남구 언주로 731,A,1688-9797
2020년 04월 01일 00시,서울,강남구,하나이비인후과병원,서울특별시 강남구 역삼로245,A,02-6925-1111
2020년 04월 01일 00시,서울,강남구,자생한방병원,서울특별시 강남구 강남대로 546,A,1577-0007
2020년 04월 01일 00시,서울,강동구,중앙보훈병원,서울특별시 강동구 진황도로 61길 53,B,02-2225-1111
2020년 04월 01일 00시,서울,강동구,강동성심병원,서울특별시 강동구 성안로 150,A,1588-4100
2020년 04월 01일 00시,서울,강동구,강동경희대학교병원,서울특별시 강동구 동남로 892,B,02-440-8114
2020년 04월 01일 00시,서울,강동구,남기세병원,서울특별시 강동구 천호대로 1133,A,1577-2533
2020년 04월 01일 00시,서울,강서구,이화여자대학교서울병원,서울특별시 강서구 공항대로260,B,1522-7000
2020년 04월 01일 00시,서울,강서구,나누리병원,서울특별시 강서구 가로공원로 187,A,1688-9797
2020년 04월 01일 00시,서울,관악구,에이치플러스양지병원,서울특별시 관악구 남부순환로1636,B,02-1877-8875
2020년 04월 01일 00시,서울,관악구,연세건우병원,서울특별시 관악구 남부순환로 1814(봉천동),A,02-1644-4630
2020년 04월 01일 00시,서울,관악구,심정병원,서울특별시 관악구 남부순환로1485,A,02-1588-3330
2020년 04월 01일 00시,서울,광진구,건국대학교병원,서울특별시 광진구 능동로 120-1,B,02-1588-1533
2020년 04월 01일 00시,서울,광진구,혜민병원,서울특별시 광진구 자양로 85,A,02-2049-9000
2020년 04월 01일 00시,서울,구로구,고려대학교구로병원,서울특별시 구로구 구로동로 148,B,02-2626-1114
2020년 04월 01일 00시,서울,구로구,구로성심병원,서울특별시 구로구 경인로 427,A,02-2067-1500
2020년 04월 01일 00시,서울,구로구,우리아이들병원,서울특별시 구로구 새말로15,A,02-858-0100
2020년 04월 01일 00시,서울,금천구,희명병원,서울특별시 금천구 시흥대로 244,B,02-804-0002
2020년 04월 01일 00시,서울,노원구,인제대학교 상계백병원,서울특별시 노원구 동일로1342,A,02-950-1114
2020년 04월 01일 00시,서울,노원구,노원을지대학교병원,서울특별시 노원구 한글비석로 68,A,02-970-8000
2020년 04월 01일 00시,서울,노원구,한국원자력의학원원자력병원,서울특별시 노원구 노원로 75,A,02-970-2114
2020년 04월 01일 00시,서울,도봉구,한일병원,서울특별시 도봉구 우이천로 308,B,02-901-3114
2020년 04월 01일 00시,서울,도봉구,바로선병원,서울특별시 도봉구 도봉로 628,A,1666-5853
2020년 04월 01일 00시,서울,동대문구,삼육서울병원,서울특별시 동대문구 망우로82,B,02-1577-3675
2020년 04월 01일 00시,서울,동대문구,경희대학교병원,서울특별시 동대문구 경희대로23,B,02-958-8114
2020년 04월 01일 00시,서울,동대문구,서울성심병원,서울특별시 동대문구 왕산로259,A,02-966-1616
2020년 04월 01일 00시,서울,동대문구,코리아병원,서울특별시 동대문구 장한로 143,A,02-2281-9999
2020년 04월 01일 00시,서울,동작구,중앙대학교병원,서울특별시 동작구 흑석로102,B,02-6299-1114
2020년 04월 01일 00시,서울,동작구,서울특별시보라매병원,서울특별시 동작구 보라매로 5길 20,A,02-870-2114
2020년 04월 01일 00시,서울,동작구,더본병원,서울특별시 동작구 동작대로67,A,02-587-2299
